MdALE errors symbolic regression,MdALE errors Eleveld
0.39898783,0.6613477
0.09666047,0.33286348
0.5453211,0.8584667
0.21023297,0.40047976
0.2218337,0.565302
0.4626636,0.77086836
0.12936212,0.33785316
0.114396,0.32662928
0.10339891,0.4016613
0.17300324,0.37020418
0.21900502,0.5800149
0.15072335,0.32205904
0.13297892,0.4437369
0.27779415,0.48078126
0.10717391,0.2414209
0.42811182,0.14440504
0.187161,0.14228542
0.20869121,0.5132655
0.24346092,0.5321284
0.07275701,0.32053137
0.15770252,0.5037917
0.26493597,0.5405645
0.088780425,0.40056938
0.3054309,0.6773616
0.17914912,0.37051648
0.10223052,0.22059894
0.16901354,0.36987585
0.20714438,0.35301793
0.18821529,0.27802676
0.09189303,0.46147567
0.12773213,0.38881624
0.10562237,0.14893419
0.170175,0.451888
0.45440128,0.5732518
0.5636738,0.87534994
0.1641044,0.47608802
0.1111951,0.3901622
0.42306697,0.66276765
0.2781195,0.5739549
0.3161479,0.37998915
0.12544425,0.2960976
0.17747355,0.531655
0.11772885,0.14876892
0.52177393,0.5915029
0.22412278,0.53007483
0.27377853,0.10126655
0.67672056,0.93160635
0.14771862,0.1487609
0.2634872,0.49799833
0.12046037,0.22650285
0.4139256,0.5957483
0.18628874,0.05671185
0.4265461,0.71004397
0.23871937,0.46483174
0.12768197,0.37344566
0.024442043,0.10713933
0.0898433,0.2043858
0.3432496,0.60231453
0.3004357,0.65040296
0.14017928,0.31804496
0.45909172,0.75380886
0.22156712,0.45796117
0.07348329,0.31011316
0.03385551,0.2369487
0.40150517,0.59935516
0.13601735,0.37512645
0.10923656,0.32277527
0.13377476,0.46118143
0.90333235,1.0378039
0.10886019,0.27363607
0.0932805,0.32772025
0.31671542,0.54476786
0.2591951,0.4400411
0.3412961,0.29919627
0.27485976,0.56416225
0.27887115,0.6006094
0.06293408,0.2860457
0.105908126,0.25613996
0.31989968,0.51584226
0.044358287,0.15928645
0.4477771,0.7495551
0.200503,0.2444185
0.3846074,0.29165277
0.31193656,0.3799324
0.20337608,0.270976
0.14021386,0.07912336
0.12431565,0.05734557
0.1328589,0.12680884
0.21907765,0.24965978
0.2798377,0.43835074
0.6460265,0.5697168
0.22067772,0.20338191
0.23329595,0.19909765
0.20029144,0.08522955
0.19273137,0.38691646
0.1414124,0.17924196
0.07444392,0.2682038
0.53349143,0.6524192
0.40508887,0.4604745
0.150426,0.3368698
0.41376275,0.3018462
0.22446257,0.13575265
0.13589384,0.113998696
0.30351657,0.32230568
0.1975281,0.15753734
0.121673234,0.15970938
0.13551496,0.058165383
0.09584379,0.08738375
0.37746388,0.42026332
0.24818781,0.18884116
0.11854104,0.112736516
0.3000909,0.22603032
0.6820906,0.8153036
0.2122335,0.25400862
0.62503713,0.6237848
0.44313556,0.49632227
0.20618519,0.19979884
0.22901976,0.30515033
0.16231263,0.26090875
0.7966742,0.7846788
0.6520094,0.710867
0.48169655,0.5466069
0.36882192,0.45390385
0.59538287,0.63733774
0.22210948,0.35951403
0.32589114,0.34464088
0.27953148,0.24472009
0.22859588,0.18045443
0.4645414,0.41334212
0.0864924,0.086982094
0.3883772,0.3862539
0.095796615,0.065209
0.43693557,0.3749947
0.18918233,0.16973156
0.056614935,0.04759638
0.50255764,0.4440738
0.15552709,0.15932915
0.6567344,0.60025334
0.6354222,0.5557245
0.19101351,0.20669347
0.22058578,0.2748198
0.1250326,0.111793876
0.19740811,0.14707895
0.07055341,0.09916881
0.3526765,0.24046907
0.18138337,0.18871172
0.14458016,0.098736495
0.11714344,0.08109999
0.2200962,0.14626944
0.46602434,0.6036641
0.14852592,0.12598206
0.3510185,0.2684285
0.2827229,0.32989338
0.77660215,0.7505068
0.17879823,0.18904471
0.6443171,0.5797925
0.3837716,0.38943535
0.5946207,0.6930451
0.66196394,0.5705685
0.38651517,0.3916329
0.2877374,0.49007758
0.52905875,0.62205225
0.50276935,0.40277147
0.21171965,0.17420065
0.13951826,0.21758457
0.17970909,0.1737101
0.19360395,0.1270957
0.25563735,0.1146149
0.21544224,0.24522772
0.31418404,0.24366215
0.55866396,0.5942089
0.4081456,0.30922723
0.5679209,0.47846264
0.2329324,0.32077938
0.67011714,0.7597064
0.36886787,0.3802104
0.5934743,0.53832406
0.45577213,0.48847982
0.2305875,0.38308984
0.40460873,0.23457697
0.22451642,0.35488877
0.153447,0.1370908
0.54632175,0.45760286
0.6681236,0.4475975
0.21567431,0.2861699
0.5567188,0.5853548
0.9479375,0.9780376
0.7729778,0.9227139
0.78667086,0.7798602
0.8727553,0.8486818
0.5154301,0.55650306
0.47839254,0.48602593
0.52047306,0.45577028
0.41210535,0.4683743
0.36365777,0.35640448
0.5936059,0.55847424
0.34593308,0.51869917
0.4144913,0.5274366
0.14007212,0.1548262
0.16613193,0.24911731
0.16270499,0.20841551
0.3718353,0.41052327
0.4309407,0.5470359
0.18903658,0.2200504
0.5922933,0.50854135
0.427395,0.46856263
0.21113473,0.34585723
0.54611665,0.59068674
0.37641913,0.30990532
0.42111632,0.4166913
0.23660892,0.48804507
0.3939937,0.45041263
0.26485592,0.30074918
0.115262516,0.16135743
0.17130616,0.25486353
0.2614686,0.21554849
0.2863462,0.49120313
0.17218535,0.04710164
0.2520064,0.41581345
0.5443437,0.6120113
0.56224525,0.55546415
0.31408092,0.2513448
0.3232141,0.23309699
0.28961235,0.48265022
0.18634188,0.29622623
0.19761734,0.28786054
0.18379624,0.2824392
0.24120569,0.22290291
0.21545748,0.12134738
0.22108877,0.35727093
0.2715417,0.29920343
0.3109185,0.65270424
0.28067607,0.37053233
0.35960603,0.272412
0.25300685,0.22449389
0.5251082,0.36536765
0.4025728,0.446477
0.18703693,0.34183854
0.38948548,0.3637728
0.29317904,0.13319607
0.25374675,0.39035907
0.33684045,0.13425249
0.31237602,0.23767003
0.2505141,0.14819229
0.22307068,0.26168883
0.43153384,0.34046167
0.3099214,0.27171773
0.277113,0.2661587
0.19539344,0.23568487
0.2833361,0.16104929
0.09089379,0.1632945
0.39924687,0.37526917
0.21911041,0.20212953
0.15238142,0.13569
0.14199917,0.20038447
0.3955683,0.44297376
0.16632786,0.27646664
0.36849314,0.21209282
0.17367513,0.28030184
0.12234686,0.19745022
0.2815156,0.3100518
0.35135818,0.2561712
0.34602374,0.3324353
0.29860842,0.3483422
0.2196874,0.3188097
0.44027156,0.48255363
0.5859298,0.5762532
0.40879244,0.291976
