Observed concentration,Predicted concentration symbolic regression ALE,Predicted concentration Eleveld
6.932,9.19628,6.9042845
10.122,9.32823,7.2486415
12.297,9.351613,7.2297397
9.885,9.365422,7.153214
13.324,9.119992,7.005429
13.87,9.123473,7.028086
19.734,6.9509025,5.4515495
14.091,8.992363,6.991478
15.842,8.679942,6.8802333
17.248,7.8286047,6.2908864
4.407,6.4107866,4.5216594
6.665,6.4806204,4.5587897
4.318,6.4265766,4.528096
4.965,6.3826942,4.5119257
2.074,6.230162,4.4372387
5.428,6.2392864,4.4993567
5.845,6.1562657,4.4587555
6.5,6.1068716,4.438704
6.751,6.128991,4.470269
6.6480002,6.166565,4.515987
5.614,6.049603,4.4846435
5.432,6.065938,4.502655
6.578,6.044936,4.4906745
6.64,5.886336,4.4052386
5.829,5.9555173,4.475718
6.157,5.8203225,4.413757
4.33,0.9032925,0.90115535
4.047,2.7007627,1.9896377
7.697,2.70066,1.9971703
4.685,2.7312481,2.017749
4.109,2.7897253,2.0585806
4.643,2.7320895,2.0125766
4.974,2.883207,2.108038
4.039,2.8472414,2.0715556
5.797,2.8165295,2.0532563
2.424,2.7978616,2.038579
5.144,2.8216975,2.0521162
4.714,2.8402095,2.0632217
4.784,2.8616707,2.076583
6.067,2.8853097,2.0919483
5.244,2.8999805,2.1018472
5.804,2.9239054,2.1186106
5.733,2.942927,2.1324937
5.397,1.5395812,1.1337683
3.014,2.7172332,2.2805884
3.375,2.7350845,2.2840326
3.231,2.8166726,2.2972744
3.202,2.7892659,2.2413743
3.696,2.859634,2.2534137
3.304,2.9027386,2.2863653
3.398,2.9182677,2.2986417
3.848,2.93291,2.3103554
3.539,3.0060585,2.3711247
3.774,2.8918664,2.2760444
3.892,2.9057653,2.2974877
4.172,2.917448,2.3120928
4.24,2.9210927,2.3164287
6.087,6.80598,4.284435
7.226,7.0676427,4.416726
6.245,6.798857,4.383062
5.463,6.6852093,4.368591
6.585,6.540221,4.3203964
8.016,6.3436017,4.2883716
8.681,6.337414,4.3031697
8.13,6.36589,4.349082
7.116,6.1864247,4.263746
7.447,6.170191,4.2701554
7.627,6.1843376,4.294141
7.937,6.1989627,4.3127217
3.572,6.1538973,4.304937
9.038,5.9851007,4.229008
9.291,6.008894,4.2518997
10.495,6.0922213,4.3287086
7.727,12.353063,7.487415
8.89,13.571485,8.034262
12.412,12.061872,7.7688766
13.76,11.632568,7.7127523
16.564,11.477419,7.662691
14.928,10.776312,7.538888
18.084,10.329408,7.390735
16.415,10.334957,7.437047
16.921,9.945223,7.2708254
17.895,10.006603,7.331512
17.852,9.804176,7.2408423
4.637,5.4260254,4.528708
4.812,5.5077596,4.5062795
5.399,5.604778,4.4917765
6.481,5.663383,4.509017
6.448,5.7885795,4.580189
5.333,5.7172413,4.518196
5.343,5.7503514,4.5333085
5.85,5.8327336,4.600008
5.16,5.7354794,4.519286
6.217,5.7509227,4.535269
5.94,5.755273,4.539964
6.065,5.791204,4.5785866
6.535,5.7420154,4.5513153
6.331,5.6871767,4.5159025
7.327,5.6281395,4.4957323
7.601,5.5432415,4.430348
7.82,5.5421605,4.4401293
7.596,5.5671525,4.4807396
8.508,2.2081914,1.7160317
6.562,1.8080724,1.4552714
9.293,1.2097526,1.0630661
3.21,2.863014,2.3855774
3.22,2.9128382,2.3227506
3.95,3.0092099,2.388331
3.86,3.0336528,2.4068198
2.38,3.0043108,2.3704214
3.38,3.0154657,2.3893135
3.08,3.024913,2.3980293
0.884,0.75363636,0.5577638
2.99,2.8310432,2.1143188
3.27,2.9487786,2.188308
3.05,2.8493898,2.1072893
2.73,2.9252582,2.16036
3.2,2.9809413,2.200875
3.33,2.843766,2.0973275
3.86,2.8765585,2.1249244
3.65,2.8936327,2.1397362
0.229,0.81546086,0.61393356
7.16,8.626389,6.580999
5.6,8.790854,6.672573
9.09,8.764455,6.60676
9.61,8.828075,6.6366014
4.8,8.8272295,6.6402087
10.0,8.8814125,6.686219
10.1,8.740261,6.5921264
10.5,8.831917,6.69341
0.243,6.697826,3.995937
6.87,7.255308,4.127311
7.2,6.866212,4.132528
4.23,6.30326,4.0605617
7.93,6.3703094,4.093297
7.29,6.2339177,4.0815983
8.67,4.063573,2.7459245
0.225,0.591695,0.44331807
0.637,0.7566814,0.57342964
7.79,8.444662,6.5274053
10.3,8.511092,6.567104
8.69,8.641987,6.5580316
7.43,8.638675,6.540183
10.0,8.73893,6.6025305
9.05,8.6873255,6.558131
10.6,8.668108,6.5389233
8.16,7.9107275,5.9826927
10.7,8.765744,6.6162524
0.324,0.49892974,0.28651512
0.086,7.7344775,4.533799
5.7,7.5588155,4.5264616
6.95,7.148124,4.4742517
8.06,6.575248,4.3649387
6.89,6.5098534,4.406143
6.65,6.4270396,4.399144
6.63,6.322015,4.3683033
7.28,6.3252325,4.4109397
7.17,6.3251386,4.42707
0.659,0.69533896,0.58294517
0.645,1.0359497,0.8526729
6.43,7.445893,6.4185762
8.54,7.481458,6.4270067
9.92,7.7359295,6.454622
11.3,8.100452,6.593514
11.0,8.11012,6.586336
10.9,8.191635,6.6356635
12.2,8.194661,6.6088037
13.0,8.331528,6.7054057
10.9,8.256234,6.625693
10.7,8.232352,6.6158113
10.45,8.278912,6.6464186
0.126,0.3725996,0.26677695
8.1,8.982324,6.7905903
8.4,9.138894,6.7505355
8.45,9.101013,6.637567
7.1,9.216658,6.599429
8.26,9.244063,6.5907326
6.97,9.362921,6.556218
9.5,9.366993,6.5252666
9.41,9.278176,6.449231
10.4,9.24484,6.41863
10.4,9.343041,6.5037823
0.17,5.863707,4.1133423
3.7,6.3639283,4.3790565
3.77,6.275358,4.343265
4.08,6.271711,4.358761
4.03,6.1834617,4.3353705
3.62,6.0507817,4.293707
4.36,6.0231776,4.3261814
4.93,6.049388,4.354192
3.72,5.955338,4.2979093
4.38,5.941401,4.3063107
5.47,5.996389,4.3681207
5.22,5.884448,4.303251
4.78,5.034877,3.7195528
0.633,0.8187515,0.5790171
2.36,2.8572588,2.0367124
2.59,3.0819442,2.1808887
2.59,3.043908,2.158459
2.54,3.037294,2.1634774
2.29,3.0645869,2.190386
2.1,2.9563048,2.1261945
2.31,2.9742281,2.1436965
2.51,2.9977434,2.166186
2.25,3.019058,2.1867106
2.53,3.0384276,2.2055197
2.81,3.0562036,2.2229033
0.581,0.8073942,0.56787854
0.162,0.79159904,0.5729207
3.33,3.1110308,2.3454263
3.71,3.1105297,2.3152907
3.82,3.1815722,2.3330703
3.9,3.1576138,2.284631
4.14,3.2100985,2.3034344
3.51,3.1782165,2.2740982
4.33,3.1352878,2.2183495
3.94,3.1978846,2.2538195
3.53,3.2136157,2.2636514
3.82,3.2488813,2.2864146
6.8,3.1473331,2.1674547
0.918,1.1877071,0.7732916
0.951,1.2520941,0.84098816
4.65,0.7213062,0.5227854
4.73,1.6449777,1.1507617
4.89,6.6534257,4.2497964
4.37,6.5740423,4.2680597
4.59,6.2293067,4.1335316
5.97,6.31931,4.2026863
6.29,6.297727,4.213583
7.13,6.190465,4.1878304
7.13,6.139711,4.1808763
7.1,6.126217,4.2064633
7.83,6.138016,4.2182846
7.75,5.9199743,4.116683
7.12,5.9827576,4.151594
7.32,6.003748,4.171362
7.75,6.0780573,4.240597
1.4,1.2891669,0.8734584
3.01,3.5640886,2.4065018
3.09,3.394369,2.311085
3.32,3.4970531,2.399661
3.39,3.2696304,2.2571802
3.14,3.2714665,2.2768376
3.05,3.280181,2.2875137
3.18,3.2920604,2.3013387
3.11,3.3040907,2.3147295
2.93,3.3192341,2.3309522
1.58,3.2671583,2.2997015
2.87,3.2342696,2.2831864
3.15,3.2357244,2.2861545
0.471,0.43982658,0.2761896
9.11,11.5604725,6.5048203
8.16,11.245112,6.4799953
8.8,10.872463,6.4557576
9.3,10.114923,6.377458
9.35,9.895035,6.3579245
10.3,9.679511,6.3284287
10.6,9.607405,6.404894
10.2,9.4038725,6.3389263
10.8,9.224321,6.3193507
10.5,9.269272,6.344258
11.0,9.148498,6.286908
12.5,9.114042,6.2827353
12.7,9.126271,6.313876
14.3,9.175978,6.3650937
0.32,0.3138334,0.20674248
0.241,0.3675165,0.24586517
0.427,0.7003992,0.44697884
0.547,0.7129311,0.46168274
6.43,5.7514453,3.7449565
6.14,5.716468,3.752161
6.97,5.711405,3.7616282
6.33,5.686636,3.7830667
6.36,5.670315,3.7926269
6.05,5.671686,3.8045475
5.78,5.747776,3.8524966
6.52,5.757887,3.8468163
7.65,5.9031525,3.8915665
7.73,5.912184,3.892231
7.99,5.8595314,3.850105
9.15,5.903797,3.866448
8.81,5.9265504,3.8752706
8.7,5.9487786,3.8840349
7.9,5.981071,3.8970284
8.13,6.022249,3.9140747
9.82,6.133882,3.930609
0.318,0.64834005,0.4920136
0.252,2.6309125,1.8600498
2.63,2.777169,2.126054
2.64,2.6910486,2.0362225
2.47,2.7053576,2.0317779
2.83,2.860983,2.0918422
2.14,2.9319742,2.1241012
2.48,2.8235393,2.0213368
3.0,2.8591616,2.0098155
2.82,2.8923442,2.0220823
3.31,2.922927,2.0343153
3.13,2.9684696,2.0533276
2.86,2.9929671,2.0639768
3.15,3.0366676,2.0839117
3.34,3.056255,2.0933177
4.17,3.0088384,2.0435398
3.17,1.4394001,0.7907315
0.16,0.159211,0.11048903
10.3,9.591724,6.649578
8.27,9.902307,6.8632007
12.1,9.819854,6.788961
12.1,9.763577,6.74346
12.7,8.993986,6.2207594
12.9,9.504795,6.5526247
13.0,9.406844,6.5276184
17.0,9.219371,6.4372416
8.94,9.213117,6.463711
12.9,8.503912,5.9982333
15.9,9.01173,6.3886356
13.1,9.028375,6.421858
17.2,8.8642,6.3471913
11.0,8.87416,6.379696
0.43,1.1504327,0.8360065
5.74,8.616398,6.1944914
7.31,8.776112,6.3393536
7.18,8.676185,6.2844586
7.64,8.7154455,6.320264
7.3,8.7340355,6.3356895
7.34,8.706464,6.319807
9.57,8.712696,6.335821
9.7,8.754094,6.368529
10.6,8.765171,6.3850327
9.98,8.652375,6.3083396
8.24,8.702457,6.352071
8.62,8.749018,6.390043
10.6,8.729673,6.3873267
8.9,8.742436,6.407262
10.6,8.654525,6.3516364
10.4,8.695979,6.394506
11.6,8.715434,6.413473
0.882,0.96800745,0.856995
7.78,7.013391,6.7129493
7.06,7.1425834,6.7016335
4.81,7.3439,6.682817
6.98,7.3830523,6.7098565
4.78,7.4875035,6.714099
8.25,7.5924077,6.751337
8.4,7.635202,6.758256
7.11,7.6717825,6.77372
9.9,7.628048,6.7183394
9.82,7.7465386,6.83019
9.22,7.6630883,6.753032
8.21,7.6898303,6.7849503
8.39,7.5860767,6.7080584
10.7,7.5979657,6.727438
11.5,7.618882,6.757912
2.3,2.5704572,2.2499342
2.36,2.600107,2.2314615
2.48,2.6264424,2.2413507
2.68,2.6345916,2.2163873
2.61,2.6608303,2.2201147
3.26,2.7718709,2.2896812
3.2,2.8123548,2.3170524
3.14,2.7687736,2.2517872
3.93,2.8151202,2.2846096
4.21,2.8319106,2.2968912
3.43,2.8769708,2.330594
3.57,2.8969405,2.3459225
3.63,2.8288589,2.2819002
3.9,2.8433473,2.296213
3.64,2.8579726,2.3109846
3.97,2.8701751,2.3234057
0.245,0.39876613,0.27863532
4.08,5.61892,4.197973
4.35,5.6954823,4.1661954
4.64,5.682197,4.123855
4.64,5.688858,4.0724354
5.71,5.7052164,4.0579395
5.73,5.6887646,3.9797673
6.53,5.76187,4.017153
6.25,5.8395276,4.064676
7.18,5.817123,4.048658
7.68,5.706307,3.9569118
6.79,5.7408357,3.9908073
4.12,5.6765265,3.9581256
8.36,4.849357,3.4041026
0.058,0.93982285,0.5463083
3.97,4.351577,2.5810828
2.53,3.650135,2.0915916
2.65,3.5656135,2.074281
2.77,3.5648503,2.1313639
2.59,3.3095531,2.0748353
2.22,3.1960156,2.051166
3.01,3.0860534,2.02837
3.01,3.0934627,2.056457
3.38,3.1019087,2.0703225
2.46,3.1231759,2.1016576
2.49,2.9665534,2.0414107
2.75,2.9682786,2.0495753
3.07,2.9870453,2.0706058
3.47,2.995961,2.0798247
2.47,3.0208268,2.1046922
0.01,0.38975456,0.2861354
6.83,6.3323236,4.357789
6.65,6.5877814,4.4842644
6.87,6.266833,4.2535853
7.21,6.5465198,4.5448437
6.74,6.415378,4.4936986
6.89,6.432816,4.5145307
7.71,6.453494,4.5370007
6.82,6.339895,4.497943
5.9,6.187581,4.4266944
6.67,6.2218175,4.481519
7.47,6.252043,4.5191436
7.73,6.0726905,4.424095
7.29,6.099088,4.469246
9.64,6.1250176,4.500268
3.214,3.1130934,3.0149148
4.086,3.3297377,2.769731
2.6,2.2882316,1.6590166
5.965,7.025235,5.63224
6.965,6.6090407,4.818031
3.7,4.112188,3.1880157
11.404,9.789195,7.257796
13.52,9.186241,6.554573
2.841,2.3964324,1.8975893
12.586,8.222179,7.403655
13.314,8.452099,6.5519867
1.322,0.8077842,0.7451975
11.809,10.135625,7.8213606
19.285,9.691026,7.042207
4.602,2.6190646,1.917728
8.345,7.8689632,7.5267
10.548,8.237153,6.5525107
2.868,2.433938,1.6645858
8.236,7.2210236,5.6905756
7.377,6.7361927,4.892709
5.707,3.6489372,2.8570764
5.071,3.4030144,2.690958
4.937,4.6736574,3.2373624
5.808,4.157303,2.8763788
4.86,3.680023,2.7376053
2.599,3.5653944,3.2676125
0.969,3.715268,2.9490056
7.037,6.0268645,4.812385
8.546,5.512241,4.923271
6.046,5.5833464,4.6937137
3.618,3.1914556,2.6907604
8.698,7.5404544,5.4884233
8.51,7.126131,5.0007453
6.632,4.833788,3.587364
7.47,8.353149,6.9181004
7.578,8.524788,6.5304794
6.535,2.0133183,1.6414237
11.309,6.9102864,6.829015
12.192,7.235548,6.533055
11.838,6.903408,6.552272
11.112,12.390296,7.657298
13.123,10.010541,6.8294554
7.66,6.122002,4.5083766
4.143,6.443643,5.4644523
3.659,4.811305,3.642019
4.123,4.642355,3.7259228
12.137,8.273778,7.634181
16.479,8.375965,6.4914145
12.333,5.514333,4.401234
4.784,4.127634,3.0883691
4.699,5.546481,4.1661873
4.567,5.2940054,3.935727
12.08,8.21513,7.3415713
10.91,8.382889,6.530303
4.919,4.3566246,3.498733
3.88,4.3767023,3.0935903
4.191,4.194504,2.973625
1.546,2.491185,1.8134477
